-5.01084623,0.00213630,-0.00872829
-5.00284623,0.00061037,-0.00946074
-4.99484623,-0.00030519,-0.01165807
-4.98684623,-0.00042726,-0.00909452
-4.97884623,0.00323496,-0.01300089
-4.97084623,-0.00115970,-0.00421155
-4.96284623,-0.00018311,-0.01214637
-4.95484624,0.00335704,-0.00708029
-4.94684624,-0.00042726,-0.00646992
-4.93884624,-0.00396741,-0.01165807
-4.93084624,0.00579852,-0.00567644
-4.92284624,0.00122074,-0.00744652
-4.91484624,0.00347911,-0.01098666
-4.90684624,0.00311289,-0.00885037
-4.89884624,-0.00244148,-0.01123081
-4.89084624,-0.00329600,-0.01440474
-4.88284624,-0.00396741,-0.01324503
-4.87484624,0.00012207,-0.00598163
-4.86684624,0.00085452,-0.00646992
-4.85884624,0.00073244,-0.01098666
-4.85084624,0.00701926,-0.01312296
-4.84284624,-0.00152593,-0.00598163
-4.83484624,-0.00720237,-0.00128178
-4.82684624,0.00524918,-0.00567644
-4.81884624,0.00476089,-0.00860622
-4.81084624,-0.00433363,-0.00482192
-4.80284624,-0.00207526,-0.01416059
-4.79484624,-0.00042726,-0.00396741
-4.78684624,0.00024415,-0.01110874
-4.77884624,0.00000000,-0.00775170
-4.77084624,0.00299081,-0.00585955
-4.76284624,0.00360118,-0.01202429
-4.75484624,0.00476089,-0.01013215
-4.74684624,0.00170904,-0.00756859
-4.73884624,0.00579852,-0.01123081
-4.73084624,0.00158696,-0.00946074
-4.72284624,0.00085452,-0.01135289
-4.71484624,0.00537126,-0.01074252
-4.70684624,-0.00115970,-0.01379437
-4.69884624,0.00347911,-0.00683615
-4.69084624,0.00439467,-0.01123081
-4.68284624,-0.00030519,-0.00482192
-4.67484624,0.00158696,-0.00622578
-4.66684624,0.00225837,-0.01202429
-4.65884624,0.00061037,-0.01287881
-4.65084624,-0.00030519,-0.00659200
-4.64284624,-0.00256355,-0.01226844
-4.63484624,0.00640889,-0.00988800
-4.62684624,-0.00219733,-0.00836207
-4.61884624,-0.00421155,-0.00933866
-4.61084624,0.00689718,-0.00610370
-4.60284625,0.00109867,-0.00964385
-4.59484625,0.00000000,-0.01263466
-4.58684625,0.00085452,-0.00836207
-4.57884625,0.00274667,-0.00811792
-4.57084625,-0.00091556,-0.00946074
-4.56284625,0.00640889,-0.01110874
-4.55484625,0.00323496,-0.00964385
-4.54684625,0.00012207,-0.00433363
-4.53884625,-0.00140385,-0.01165807
-4.53084625,-0.00292978,-0.01086459
-4.52284625,-0.00115970,-0.00872829
-4.51484625,0.00146489,-0.01098666
-4.50684625,0.00085452,-0.00946074
-4.49884625,0.00262459,-0.00555437
-4.49084625,0.00225837,-0.01098666
-4.48284625,0.00146489,-0.00421155
-4.47484625,0.00299081,-0.00909452
-4.46684625,0.00549333,-0.01153600
-4.45884625,0.00000000,-0.00787378
-4.45084625,0.00463881,-0.00787378
-4.44284625,-0.00067141,-0.01049837
-4.43484625,0.00390637,-0.01001007
-4.42684625,0.00549333,-0.00964385
-4.41884625,0.00012207,-0.00921659
-4.41084625,0.00073244,-0.00555437
-4.40284625,0.00439467,-0.00341807
-4.39484625,0.00238044,-0.00732444
-4.38684625,0.00512711,-0.01287881
-4.37884625,0.00451674,-0.01013215
